Carrier Code,ICAO,Airline,Country/Region
0A,GNT,Amber Air,Lithuania
0B,BLA,Blue Air,Romania
0C,IBL,IBL Aviation,Mauritius
0D,DWT,Darwin Airline,Switzerland
0J,JCS,Jetclub,Switzerland
0V,VFC,Vietnam Air Services Company (VASCO),Vietnam
1A,,Amadeus IT Group S.A.,Global
1A,AGT,Amadeus IT Group,Spain
1B,,Sabre travel network Asia-Pacific (ex-Abacus),APAC
1B,,Abacus International,Singapore
1C,,Electronic Data Systems,Switzerland
1D,,Radixx,United States
1E,,Travelsky,China
1E,,Travelsky Technology,China
1F,,"Infini travel information, Inc.",Japan
1F,,INFINI Travel Information,Japan
1G,,Travelport (Galileo core),Global
1G,,Galileo International,United States
1H,,Sirena travel,Russia
1H,,Siren-Travel,Russia
1I,AMB,Deutsche Rettungsflugwacht,Germany
1I,EJA,NetJets,United States
1I,NVR,Novair,Sweden
1I,NJE,NetJets Europe,Portugal
1I,,Pegasus Hava Tasimaciligi,Turkey
1I,,Sierra Nevada Airlines,United States
1I,PZR,Sky Trek International Airlines,United States
1J,,"Axess international network, Inc.",Japan
1J,,"Axess international network, Inc.",Japan
1K,,AIRKIOSK,Global
1K,,Southern Cross Distribution,Australia
1K,,Sutra,United States
1L,OSY,Open Skies Consultative Commission,United States
1M,,Sirin,Russia
1M,,JSC Transport Automated Information Systems,Russia
1N,,Navitaire,United States
1P,,Travelport (Worldspan core),Global
1P,,Worldspan,United States
1Q,,Sirena,Russia
1R,,Hainan Phoenix Information Systems,China
1S,,Sabre travel network,Global
1S,,Sabre,United States
1T,,Hitit Computer Services,Turkey
1T,BUC,Bulgarian Air Charter,Bulgaria
1U,,Google/ITA,United States
1U,,ITA Software,United States
1U,,Polyot Sirena,Russia
1Y,,Electronic Data Systems,United States
1Z,APD,Sabre Pacific,Australia
2A,,Deutsche Bahn,Germany
2B,AWT,Albawings,Albania
2C,,SNCF,France
2D,AOG,Aero VIP,Argentina
2F,FTA,Frontier Flying Service,United States
2G,CRG,Cargoitalia,Italy
2G*,MRR,San Juan Airlines,United States
